1595788074,tb3_1,"[1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",48.302s
1595788074,tb3_1,"[1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",28.168s
1595788074,tb3_3,"[-1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",96.586s
1595788074,tb3_2,"[1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",108.696s
1595788074,tb3_1,"[-1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",36.228s
1595788074,tb3_0,"[-1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",114.72s
1595788074,tb3_3,"[-1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",36.22s
1595788074,tb3_2,"[1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",116.736s
1595788074,tb3_0,"[-1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",110.728s
1595788074,tb3_2,"[-1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",34.218s
1595788074,tb3_2,"[-1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",28.166s
1595788074,tb3_1,"[-1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",179.134s
1595788074,tb3_0,"[1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",121.006s
1595788074,tb3_3,"[1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",221.722s
1595788074,tb3_0,"[1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",28.302s
1595788074,tb3_3,"[1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",24.284s
1595789353,tb3_3,"[-1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",48.33s
1595789353,tb3_0,"[-1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",52.366s
1595789353,tb3_3,"[-1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",36.216s
1595789353,tb3_0,"[-1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",52.324s
1595789353,tb3_2,"[1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",144.982s
1595789353,tb3_0,"[1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",44.32s
1595789353,tb3_1,"[1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",173.19s
1595789353,tb3_0,"[1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",28.228s
1595789353,tb3_3,"[1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",112.854s
1595789353,tb3_3,"[1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",38.236s
1595789353,tb3_2,"[1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",137.194s
1595789353,tb3_1,"[1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",115.054s
1595789353,tb3_1,"[-1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",97.094s
1595789353,tb3_2,"[-1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",109.256s
1595789353,tb3_1,"[-1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",30.348s
1595789353,tb3_2,"[-1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",28.358s
1595790436,tb3_0,"[-1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",28.26s
1595790436,tb3_0,"[-1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",28.186s
1595790436,tb3_0,"[1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",34.216s
1595790436,tb3_3,"[-1.0, 2.0, 0.0]","[-1.0, -1.0, 0.0]",100.734s
1595790436,tb3_1,"[1.0, 2.0, 0.0]","[1.0, -1.0, 0.0]",126.94s
1595790436,tb3_2,"[1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",128.956s
1595790436,tb3_3,"[-1.0, -1.0, 0.0]","[1.0, 2.0, 0.0]",42.284s
1595790436,tb3_1,"[1.0, -1.0, 0.0]","[-1.0, 2.0, 0.0]",30.19s
